SCORE,TIME,MANA,HOUR,MINUTE,MILLIS,DAY,MONTH,YEAR
0,0,100.0,13,45,5986,22,4,2015
0,4,100.0,13,45,4975,22,4,2015
1,5,6.4905143,13,43,10691,22,4,2015
0,3,66.41226,13,43,4230,22,4,2015
11,15,9.586936,13,43,15562,22,4,2015
21,21,8.412507,13,42,22347,22,4,2015
37,29,7.2482305,13,41,39085,22,4,2015
4,7,10.468638,13,41,8243,22,4,2015
8,11,0.85631037,13,39,11812,22,4,2015
3,7,4.406024,13,38,8273,22,4,2015
1,1,3.8652418,13,38,14586,22,4,2015
10,12,0.7589887,13,38,13089,22,4,2015
1,4,38.98333,13,38,16288,22,4,2015
10,10,34.171165,13,37,10574,22,4,2015
15,17,5.58435,13,37,17683,22,4,2015
0,0,3.871797,13,36,12809,22,4,2015
9,10,2.0780451,13,36,11028,22,4,2015
10,10,0.018727303,13,35,10959,22,4,2015
2,6,7.174989,13,35,6490,22,4,2015
15,15,0.018727303,13,34,15490,22,4,2015
3,5,10.0,13,29,12317,22,4,2015
5,6,0.75,13,29,6773,22,4,2015
2,4,10.0,13,28,5333,22,4,2015
1,6,6.75,13,25,6704,22,4,2015
0,5,-62.0,13,25,5572,22,4,2015
1,0,52.099464,13,22,9473,22,4,2015
2,7,52.7995,13,21,7972,22,4,2015
3,5,3.9998944,13,20,6143,22,4,2015
2,5,11.399894,13,13,15001,22,4,2015
4,8,3.2998862,13,13,9404,22,4,2015
7,8,4.9998956,13,10,9044,22,4,2015
1,0,72.299706,13,7,8085,22,4,2015
1,5,68.69976,13,7,6335,22,4,2015
0,0,77.751015,12,25,12240,22,4,2015
12,10,77.74101,12,25,10826,22,4,2015
0,0,100.0,12,12,11056,22,4,2015
8,9,100.0,12,12,9872,22,4,2015
0,0,100.0,12,12,7932,22,4,2015
4,6,100.0,12,12,6947,22,4,2015
10,11,100.0,11,50,11627,22,4,2015
20,14,100.0,23,20,15214,21,4,2015
13,16,100.0,23,19,33012,21,4,2015
14,14,100.0,23,19,15219,21,4,2015
